Date,App,Age ,Gender,Do you order food from online food apps?  ,How frequently do you use food apps? ,How much do you spend on an average on food on each transaction,What time during the day do you order the food most often?,Rate your overall satisfaction with the restaurant that you ordered food recently.,I pay much attention on the price discount offered by vendor.,The money saved by finding lower price usually worth the time and effort.,The time it took to find lower price usually worth the effort.,I am willing to go to extra to find lower price.,"Getting coupons from food app, I feel I am getting a good deal.",The restaurant vendor is trustworthy.,Restaurant wants to be known as one who Keep's promises and commitment.,I find it necessary to be cautious with this Restaurant.,I trust this store keeps my best interest in my mind.,This retailer has more to lose than to gain by not delivering on their promise,The food is fresh what delivered by restaurant.,Restaurant has good variety in their menu.,The food is delicious.,Hot food is served by restaurant vendor.,Food is tasty and flavored,Food is quickly delivered,Food is delivered on promised time.,Average on-road time taken is satisfactory.,The rating of the restaurant was high,The reviews of the restaurant was good,I will make purchase again on the food apps.,I will visit food apps again in the future.,I intend to recommend the online food apps that I regularly use to people around me.,I will never purchase from the same vendor.," Have you faced any problems with online food apps?If yes, please state "
2/25/2020,Swiggy,18,Female,Yes,Monthly,250-500,Snacks,Dissatisfied,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly Agree,Strongly Disagree,Strongly Agree,Neutral,Strongly Agree,Agree,Neutral,Disagree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly agree,
2/25/2020,Swiggy,18,Female,Yes,Monthly,250-500,Snacks,Dissatisfied,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly Agree,Strongly Disagree,Strongly Agree,Neutral,Strongly Agree,Agree,Neutral,Disagree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly agree,
2/25/2020,Zomato,22,Prefer not to say,Yes,Weekly,below 250,Lunch,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Strongly Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree,Strongly disagree,Not as such
2/25/2020,Zomato,22,Prefer not to say,Yes,Weekly,250-500,Dinner,Neutral,Disagree,Neutral,Agree,Agree,Agree,Neutral,Strongly Agree,Agree,Neutral,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Neutral,Neutral,Neutral,Agree,Neutral,Neutral,Disagree,No
2/26/2020,Food Panda,18,Female,Yes,Monthly,500-750,Snacks,strongly disagree,Disagree,Agree,Agree,Strongly agree,Agree,Disagree,Disagree,Agree,Strongly Agree,Agree,Agree,Strongly disagree,Agree,Agree,Disagree,Strongly Disagree,Disagree,Neutral,Agree,Disagree,Neutral,Agree,Agree,Agree,
2/26/2020,Food Panda,18,Female,Yes,Monthly,500-750,Snacks,Neutral,Agree,Agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Agree,Neutral,Disagree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,
2/26/2020,Zomato,18,Female,Yes,Weekly,250-500,Dinner,Disagree,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Disagree,Disagree,Neutral,Disagree,Disagree,Disagree,Neutral,
2/26/2020,Zomato,18,Male,Yes,Daily,250-500,Dinner,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Disagree,Disagree,
2/27/2020,Zomato,22,Male,Yes,Weekly,500-750,Snacks,Agree,Strongly agree,Agree,Disagree,Neutral,Disagree,Neutral,Neutral,Agree,Agree,Strongly Agree,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Disagree,Neutral,Neutral,Agree,Agree,Agree,Neutral,
2/27/2020,Zomato,26,Male,Yes,Daily,below 250,Dinner,Neutral,Strongly disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Disagree,Strongly Disagree,Neutral,Neutral,Agree,Disagree,Neutral,Agree,In Zomato recently in Manipal
2/27/2020,Swiggy,18,Female,Yes,Monthly,1000+,Dinner,Neutral,Agree,Agree,Agree,Strongly agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Strongly agree,
2/27/2020,Swiggy,22,Female,Yes,Weekly,500-750,Lunch,Agree,Strongly agree,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,
